taxid,desc,superkingdom,phylum,class,order,family,genus,species,toprank,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
351607,Acidothermus cellulolyticus 11B,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,Acidothermus cellulolyticus 11B,0.000004,0.000009,0.000007,0.000005,0.000017,0.000006,0.000007,0.000001,0.000001,0.000001,0,0,0,0,0.000001,0,0.000001,0.000001,0,0,0,0.000002,0.000006,0,0,0,0,0,0.000003,0.000002,0.000004,0.000002,0,0.000003,0.000001,0,0.000001,0.000001,0.000002,0,0,0,0.000004,0.000002,0.000002,0.000002,0.000004,0.000001,0.000001,0,0.000001,0.000001,0.000002,0.000005,0.000001,0.000001,0,0.000001,0.000001,0.000007,0.000004,0
883066,Actinobaculum massiliae ACS-171-V-Col2,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense,Actinobaculum massiliae ACS-171-V-Col2,0.000007,0.000009,0.000009,0.000004,0.000013,0.000004,0.000006,0,0,0.000001,0,0,0.000001,0,0,0,0.000001,0,0.000001,0,0.000001,0.000003,0,0,0,0,0,0,0.000001,0.000002,0.000002,0.000001,0.000001,0.000008,0,0,0.000003,0.000002,0.000002,0,0,0,0.000001,0.000002,0.000002,0.000004,0.000003,0.000002,0.000008,0.000001,0.000001,0.000001,0.000003,0.000008,0.000003,0.000001,0,0.000002,0.000003,0.000003,0.000006,0
525245,Actinomyces coleocanis DSM 15436,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces coleocanis,Actinomyces coleocanis DSM 15436,0.000034,0.000014,0.000011,0.000011,0.000049,0.000011,0.000014,0.000001,0.000001,0.000012,0.000003,0.000007,0.000008,0.000002,0.000001,0.000007,0.000001,0.000008,0.000008,0.000008,0.000014,0.000046,0.000217,0,0,0,0.000003,0.000003,0.000005,0.000001,0.000005,0.000004,0.000001,0.000014,0,0,0.000002,0.000002,0.000003,0,0.000003,0,0.000007,0.000003,0.000003,0.00001,0.000011,0.000007,0.000005,0.000001,0.000002,0.000001,0.000035,0.000103,0.000002,0.000001,0,0.000002,0.000005,0.000004,0.000008,0.000001
1125717,Actinomyces georgiae F0490,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces georgiae,Actinomyces georgiae F0490,0.000004,0.000016,0.000014,0.000004,0.000103,0.000006,0.00001,0.000002,0.000002,0.000034,0.000002,0.000002,0.000001,0.000001,0.000003,0.000004,0.000002,0.000002,0.00003,0.000011,0.000056,0.000028,0.000006,0,0,0,0,0,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0.000001,0.000001,0.000001,0,0,0,0,0.000002,0.000001,0.000002,0.000003,0,0.000001,0,0.000001,0.000001,0.000001,0.000001,0,0,0,0.000001,0.000004,0.000005,0.000002,0
435830,Actinomyces graevenitzii C83,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces graevenitzii C83,0.000093,0.000805,0.000389,0.000196,0.002016,0.000083,0.000162,0.000037,0.000025,0.001362,0.000207,0.000292,0.000158,0.000077,0.000032,0.000489,0.000021,0.000563,0.0003,0.000734,0.001612,0.006846,0.000078,0.000019,0,0.000001,0.000011,0.000015,0.000011,0.000015,0.000018,0.000007,0.000004,0.000033,0.000002,0.000004,0.000005,0.000006,0.000011,0.000003,0.000002,0,0.000006,0.000016,0.000011,0.000029,0.000014,0.000007,0.000015,0.000002,0.000011,0.000007,0.000007,0.000013,0.000028,0.000005,0.000001,0.000008,0.000049,0.000034,0.000016,0.000003
1125718,Actinomyces massiliensis F0489,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,Actinomyces massiliensis F0489,0.000017,0.00001,0.000009,0.000003,0.000169,0.000003,0.00001,0.000006,0.000006,0.000123,0.000023,0.000019,0.000013,0.000006,0.000017,0.000014,0.000006,0.000024,0.000058,0.000047,0.000117,0.000257,0,0,0,0,0,0,0.000001,0.000001,0.000001,0,0,0.000001,0,0,0,0.000001,0.000002,0,0,0,0.000001,0.000003,0,0.000002,0.000001,0,0.000002,0,0.000001,0,0,0.000002,0,0,0,0,0.000001,0,0.000002,0
1115803,Actinomyces naeslundii str. Howell 279,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,Actinomyces naeslundii str. Howell 279,0.000005,0.000044,0.000035,0.00001,0.000053,0.000003,0.000004,0.000002,0.000001,0.000013,0.000005,0.000006,0.000004,0.000001,0.000005,0.000001,0.000001,0.000004,0.000006,0.000005,0.000018,0.000034,0,0.000001,0,0,0,0,0,0,0.000001,0,0,0.000007,0,0,0,0,0.000001,0,0,0,0.000001,0.000001,0.000001,0,0.000002,0,0.000002,0,0,0,0.000001,0.000001,0,0,0,0,0.000001,0,0.000001,0
888439,Actinomyces neuii BVS029A5,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,Actinomyces neuii BVS029A5,0.000015,0.000003,0.000003,0.000002,0.000006,0.000003,0.000002,0,0,0.000002,0,0,0,0,0,0,0,0.000002,0.000002,0.000001,0.000008,0.000017,0,0,0,0,0,0,0.000001,0,0.000001,0.000003,0,0.000001,0,0,0,0,0.000001,0,0,0,0,0.000001,0.000001,0,0.000001,0.000001,0,0,0,0,0.000007,0,0,0,0,0,0,0.000001,0.000001,0
411466,Actinomyces odontolyticus ATCC 17982,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,Actinomyces odontolyticus ATCC 17982,0.000437,0.003487,0.000915,0.000576,0.03293,0.000087,0.00144,0.000338,0.000134,0.003881,0.000345,0.000543,0.00042,0.000682,0.000234,0.002571,0.000063,0.000809,0.00202,0.002718,0.005424,0.017392,0,0.000032,0,0.000002,0.000019,0.000042,0.000009,0.000009,0.000043,0.000005,0.000003,0.000015,0.000004,0.000003,0.000003,0.000005,0.000014,0.000003,0.000001,0,0.000006,0.000023,0.000011,0.000029,0.00002,0.000011,0.000026,0.000003,0.000006,0.000004,0.000011,0.00001,0.000002,0.000003,0.000002,0.000011,0.000058,0.000054,0.000014,0.000009
649742,Actinomyces odontolyticus F0309,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,Actinomyces odontolyticus F0309,0.000416,0.003309,0.000878,0.000545,0.031446,0.000078,0.001358,0.000324,0.000127,0.003774,0.000333,0.000524,0.000408,0.000633,0.000219,0.002404,0.00006,0.000766,0.001978,0.002617,0.005221,0.016711,0.000017,0.000039,0,0,0.000028,0.000039,0.000007,0.000006,0.000034,0.000003,0.000003,0.00001,0.000001,0.000004,0.000003,0.000003,0.000011,0.000003,0.000001,0,0.000003,0.000023,0.00001,0.000015,0.00002,0.00001,0.000021,0.000002,0.000005,0.000003,0.000006,0.000016,0.000003,0.000004,0.000002,0.000007,0.000032,0.000046,0.00001,0.000009
871541,Actinomyces oris K20,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,Actinomyces oris K20,0.000224,0.000368,0.000085,0.000051,0.000468,0.000019,0.000031,0.000027,0.000019,0.000264,0.000748,0.000713,0.000546,0.000025,0.000077,0.000064,0.000024,0.000271,0.00013,0.000138,0.000334,0.000679,0,0.000003,0,0,0,0.000001,0.000004,0.000002,0.000003,0.000002,0.000001,0.000003,0.000006,0.000001,0.000002,0.000001,0.000003,0,0,0,0.000004,0.000005,0.000003,0.000003,0.000006,0.000002,0.000004,0.000001,0.000002,0.000003,0.000004,0.000002,0,0.000001,0,0.000001,0.000014,0.000005,0.000005,0
1105029,Actinomyces sp. ICM39,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. ICM39,Actinomyces sp. ICM39,0.000036,0.000236,0.000112,0.000041,0.001733,0.000008,0.000143,0.000023,0.000009,0.000442,0.000047,0.000077,0.000052,0.00006,0.000034,0.000373,0.000009,0.000145,0.000195,0.000278,0.000474,0.001136,0,0.000006,0,0,0.000004,0.000004,0.000001,0.000002,0.000005,0.000001,0,0.000002,0.000001,0,0.000001,0.000001,0.000002,0,0,0,0.000002,0.000004,0.000001,0.000002,0.000004,0.000002,0.000005,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.000005,0.000006,0.000004,0.000003
936548,Actinomyces sp. ICM47,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. ICM47,Actinomyces sp. ICM47,0.000139,0.001073,0.00029,0.000122,0.010084,0.000016,0.000332,0.000257,0.000107,0.001032,0.000036,0.000067,0.000043,0.000197,0.000033,0.000144,0.000026,0.00035,0.000777,0.000953,0.002374,0.011004,0,0.000013,0.000001,0,0.000004,0.000013,0.000002,0.000001,0.000009,0.000001,0,0.000005,0,0.000001,0.000001,0.000001,0.000004,0.000001,0,0,0.000003,0.000005,0.000002,0.000006,0.000005,0.000003,0.000002,0,0.000003,0.000002,0.000001,0.000001,0,0.000001,0,0.000003,0.000005,0.000008,0.000003,0.000002
762963,Actinomyces sp. oral taxon 170 str. F0386,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 170,Actinomyces sp. oral taxon 170 str. F0386,0.000049,0.000205,0.000073,0.000052,0.000632,0.000023,0.000033,0.000014,0.00001,0.000133,0.000329,0.000265,0.000102,0.000012,0.000034,0.000033,0.00001,0.000044,0.000066,0.000061,0.000152,0.00038,0,0.000002,0,0.000001,0.000001,0,0.000005,0.000003,0.000005,0.000003,0.000001,0.000008,0.000001,0.000001,0.000001,0.000003,0.000004,0,0.000001,0,0.000003,0.000005,0.000005,0.000009,0.000009,0.000001,0.000006,0.000001,0.000003,0.000002,0.000002,0.000009,0.000003,0.000003,0.000001,0.000002,0.000026,0.000005,0.000006,0
706439,Actinomyces sp. oral taxon 171 str. F0337,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 171,Actinomyces sp. oral taxon 171 str. F0337,0.000069,0.000276,0.000098,0.000068,0.000592,0.000022,0.000036,0.000025,0.000017,0.000325,0.000334,0.00033,0.00017,0.000015,0.000059,0.00005,0.00002,0.000069,0.000172,0.000152,0.000314,0.000587,0.000005,0.000001,0,0,0,0.000001,0.000004,0.000003,0.000005,0.000003,0.000001,0.000004,0,0.000001,0.000001,0.000002,0.000004,0,0,0,0.000002,0.000004,0.000003,0.000007,0.000005,0.000002,0.000004,0.000001,0.000003,0.000002,0.000002,0.000003,0.000001,0.000002,0,0.000003,0.000007,0.000004,0.000006,0
944560,Actinomyces sp. oral taxon 175 str. F0384,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 175,Actinomyces sp. oral taxon 175 str. F0384,0.000132,0.000302,0.000086,0.000049,0.000491,0.000017,0.000032,0.000039,0.000027,0.000366,0.000557,0.000487,0.000336,0.000026,0.000107,0.000072,0.000033,0.000211,0.000175,0.000172,0.00046,0.000901,0,0.000003,0,0,0.000002,0.000003,0.000004,0.000003,0.000004,0.000001,0.000001,0.000004,0.000002,0.000001,0.000001,0.000002,0.000006,0,0,0,0.000002,0.000006,0.000003,0.000005,0.000007,0.000001,0.000006,0.000001,0.000002,0.000003,0.000002,0.000003,0.000002,0.000002,0,0.000001,0.000016,0.000008,0.000006,0
888051,Actinomyces sp. oral taxon 178 str. F0338,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 178,Actinomyces sp. oral taxon 178 str. F0338,0.000067,0.000409,0.000124,0.00008,0.004298,0.000045,0.000247,0.000045,0.000024,0.000445,0.000048,0.000059,0.000025,0.000057,0.000053,0.000157,0.000014,0.000088,0.000236,0.000294,0.000651,0.00191,0.000015,0.000005,0,0,0.000011,0.000004,0.000006,0.00001,0.00001,0.000006,0.000001,0.000008,0.000001,0.000001,0.000003,0.000007,0.000011,0.000001,0.000001,0,0.000004,0.00001,0.000009,0.00001,0.000023,0.000005,0.000007,0.000002,0.000006,0.000004,0.000009,0.00002,0.000001,0.000006,0,0.000005,0.000015,0.000017,0.000016,0.000002
888052,Actinomyces sp. oral taxon 180 str. F0310,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 180,Actinomyces sp. oral taxon 180 str. F0310,0.000174,0.00169,0.000402,0.000212,0.012651,0.000046,0.000659,0.000173,0.000075,0.001436,0.000111,0.00019,0.000104,0.000264,0.000135,0.000703,0.000044,0.000329,0.000748,0.001081,0.002183,0.007618,0.000012,0.000017,0,0,0.000013,0.00002,0.000007,0.000006,0.000021,0.000006,0.000001,0.000008,0.000001,0.000002,0.000003,0.000005,0.00001,0.000001,0.000001,0,0.000006,0.000017,0.000009,0.000014,0.00002,0.000006,0.000009,0.000002,0.000006,0.000003,0.000006,0.000016,0.000005,0.000004,0.000001,0.000005,0.000035,0.000029,0.000018,0.000004
1127690,Actinomyces sp. oral taxon 181 str. F0379,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 181,Actinomyces sp. oral taxon 181 str. F0379,0.000011,0.00007,0.000035,0.000015,0.000267,0.000004,0.000244,0.00002,0.00001,0.001015,0.000114,0.000223,0.000182,0.000205,0.000036,0.000826,0.00001,0.00014,0.000401,0.000785,0.001026,0.003972,0,0.000011,0,0,0.000062,0.000014,0.000002,0.000002,0.00002,0.000003,0.000005,0.000004,0,0.000001,0.000001,0.000001,0.000012,0.000004,0.000001,0.000001,0.000001,0.000038,0.000007,0.000009,0.000003,0.000022,0.000024,0.000012,0.000001,0.000004,0.000003,0.000002,0.000012,0.000003,0.000001,0.000003,0.00003,0.000031,0.000002,0
888056,Actinomyces sp. oral taxon 448 str. F0400,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 448,Actinomyces sp. oral taxon 448 str. F0400,0.000049,0.000053,0.000026,0.000018,0.000533,0.000021,0.000041,0.000033,0.000043,0.00029,0.000077,0.000068,0.000045,0.000046,0.000046,0.000089,0.000037,0.000032,0.000166,0.000149,0.000469,0.001949,0.00001,0.000001,0,0,0.000001,0,0.000007,0.000004,0.000004,0.000003,0.000001,0.000006,0.000001,0,0.000003,0.000002,0.000004,0,0,0,0.000003,0.000005,0.000002,0.000006,0.000011,0.000003,0.000004,0.000001,0.000004,0.000003,0.000003,0.000007,0,0.000002,0,0.000002,0.000004,0.000008,0.000007,0
649743,Actinomyces sp. oral taxon 848 str. F0332,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 848,Actinomyces sp. oral taxon 848 str. F0332,0.000015,0.000112,0.000044,0.000019,0.000404,0.000017,0.000036,0.000009,0.000006,0.000037,0.00067,0.000403,0.000118,0.000001,0.00001,0.000005,0.000008,0.000004,0.00002,0.000012,0.000073,0.000122,0.000003,0,0,0,0,0,0.000005,0.000003,0.000006,0.000007,0.000001,0.000006,0.000001,0.000001,0.000001,0.000004,0.000005,0,0,0,0.000004,0.000007,0.000004,0.000007,0.000016,0.000002,0.000003,0.000001,0.000004,0.000003,0.000002,0.000005,0.000001,0.000003,0,0.000003,0.000005,0.000008,0.000009,0.000001
653386,Actinomyces sp. oral taxon 849 str. F0330,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 849,Actinomyces sp. oral taxon 849 str. F0330,0.000061,0.000209,0.000087,0.00006,0.001651,0.000022,0.000064,0.000014,0.000009,0.000444,0.000207,0.000164,0.00006,0.000011,0.000031,0.000027,0.00001,0.000058,0.000229,0.000151,0.000521,0.00103,0.00002,0.000001,0,0,0,0,0.000003,0.000002,0.000005,0.000002,0,0.000009,0,0,0.000001,0.000001,0.000003,0,0,0,0.000003,0.000003,0.000004,0.000004,0.000008,0.000002,0.000004,0.000001,0.000002,0.000001,0.000003,0.000002,0.000003,0.000002,0.000004,0.000001,0.000009,0.000008,0.000005,0.000002
883077,Actinomyces turicensis ACS-279-V-Col4,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces turicensis,Actinomyces turicensis ACS-279-V-Col4,0.000048,0.000009,0.000014,0.000008,0.00006,0.000008,0.000019,0.000001,0,0.000007,0.000002,0.000003,0.000005,0.000001,0.000001,0.000003,0.000001,0.000005,0.000004,0.000005,0.000008,0.000037,0,0,0,0,0.000004,0,0.000005,0.000003,0.000003,0.000001,0.000001,0.000002,0,0,0.000001,0.000001,0.000008,0,0,0,0.000001,0.000002,0.000003,0.000005,0.000019,0.000001,0.000003,0.000001,0.000004,0.000002,0.000001,0.000005,0.000002,0.000002,0.000001,0,0.000004,0.000003,0.000003,0.000039
525246,Actinomyces urogenitalis DSM 15434,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,Actinomyces urogenitalis DSM 15434,0.000043,0.000075,0.00004,0.00003,0.000482,0.000033,0.000073,0.000019,0.000014,0.000121,0.000019,0.000017,0.000017,0.000006,0.000025,0.000019,0.000014,0.000026,0.000058,0.000056,0.000134,0.000458,0.000011,0,0,0,0,0.000001,0.000008,0.000004,0.000009,0.000006,0.000001,0.000006,0.000002,0.000002,0.000002,0.000004,0.000008,0,0,0,0.000007,0.000011,0.000008,0.000011,0.000023,0.000005,0.00002,0.000003,0.000008,0.000003,0.000004,0.000009,0.000003,0.000005,0.000002,0.000003,0.000007,0.000011,0.000018,0.000001
