taxid,desc,superkingdom,phylum,class,order,family,genus,species,toprank,Max,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
940265,Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471,0.000022,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0.000001,0,0,0.000001,0,0.000007,0.000022,0.000011,0,0,0,0,0,0.000001,0
945681,Acetobacter pomorum DM001,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pomorum,Acetobacter pomorum DM001,0.000176,0.000002,0.000004,0.000002,0.000001,0.000004,0.000001,0.000002,0.000001,0,0,0,0.000001,0.000001,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0.000001,0.000004,0,0.000003,0.000001,0.000002,0.000001,0,0,0,0.000002,0.000002,0.000002,0.000012,0,0.000001,0.000002,0.000001,0.000003,0.000004,0.000012,0.000007,0.000001,0.000001,0,0.000085,0.000176,0,0.000001,0.000001,0,0.000001,0.000001,0.000021,0
749388,Acetobacter tropicalis NBRC 101654,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter tropicalis,Acetobacter tropicalis NBRC 101654,0.000218,0.000001,0.000004,0.000004,0.000003,0.000009,0.000002,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000005,0.000002,0.000003,0.000002,0.000002,0.000004,0,0,0.000004,0.000003,0.000004,0,0.000012,0.000001,0.000003,0.000003,0.000001,0.000003,0.000002,0.000013,0.000011,0.000001,0.000002,0.000001,0.000108,0.000218,0.000002,0.000001,0,0.000001,0.000002,0.000003,0.000021,0
1054213,Acetobacteraceae bacterium AT-5844,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,none,Acetobacteraceae bacterium AT-5844,Acetobacteraceae bacterium AT-5844,0.000062,0.000004,0.000014,0.000012,0.000007,0.000022,0.000011,0.000017,0.000001,0.000001,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0.000004,0.000001,0,0,0,0,0.000005,0.000002,0.000004,0.000002,0.000001,0.000004,0.000001,0.000001,0.000001,0.000001,0.000002,0,0.000002,0,0.000002,0.000004,0.000003,0.000003,0.000009,0.000004,0.000005,0.000001,0.000002,0.000001,0.000033,0.000062,0.000001,0.000002,0,0.000001,0.000003,0.000005,0.000008,0
477184,Achromobacter arsenitoxydans SY8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter arsenitoxydans,Achromobacter arsenitoxydans SY8,0.000021,0.000004,0.000011,0.000009,0.000005,0.000021,0.000009,0.000014,0.000001,0.000001,0.000004,0,0.000001,0.000001,0,0.000001,0,0.000001,0,0.000003,0.000001,0.000006,0.000002,0.000004,0.000008,0,0.000001,0.000005,0.000005,0.000004,0.000002,0.000003,0.000003,0.000001,0.000002,0.000001,0.000002,0.000002,0.000001,0.000002,0,0,0,0.000003,0.000002,0.000003,0.000002,0.000007,0.000002,0.000003,0,0.000003,0.000002,0.000005,0.00001,0,0.000002,0.000002,0.000002,0.000009,0.000002,0.000007,0
742159,Achromobacter piechaudii ATCC 43553,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter piechaudii,Achromobacter piechaudii ATCC 43553,0.000028,0.000004,0.000009,0.000007,0.000004,0.000012,0.000007,0.000013,0.000002,0.000001,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0.000001,0.000002,0.000021,0,0,0.000003,0.000028,0.000002,0.000002,0.000002,0.000002,0.000001,0.000002,0.000001,0.000002,0.000001,0.000003,0.000001,0,0,0,0.000002,0.000003,0.000003,0.000003,0.000004,0.000001,0.000004,0,0.000002,0.000001,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000003,0.000002,0.000004,0
1156919,Achromobacter piechaudii HLE,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter piechaudii,Achromobacter piechaudii HLE,0.000004,0.000001,0.000003,0.000003,0.000001,0.000003,0.000002,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0.000001,0.000001,0,0,0.000001,0,0.000001,0,0,0,0,0.000001,0,0,0,0.000001,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0
762376,Achromobacter xylosoxidans A8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans A8,0.000055,0.000004,0.000009,0.000008,0.000005,0.000024,0.000011,0.000014,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0.000001,0.000055,0.000007,0,0.000002,0.000002,0.000004,0.000003,0.000002,0.000004,0.000002,0.000001,0.000002,0,0.000002,0.000002,0.000001,0.000003,0,0.000001,0,0.000002,0.000003,0.000003,0.000004,0.000004,0.000002,0.000005,0.000001,0.000002,0.000002,0.000006,0.000012,0,0.000001,0.000001,0.000002,0.000004,0.000003,0.000006,0
1003200,Achromobacter xylosoxidans AXX-A,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans AXX-A,0.000005,0.000001,0.000002,0.000003,0.000001,0.000005,0.000002,0.000004,0,0,0.000002,0,0,0,0,0,0,0,0,0.000001,0.000001,0.000003,0.000001,0.000002,0,0,0.000001,0,0,0.000001,0.000001,0.000001,0,0,0.000001,0,0,0,0,0.000001,0,0,0,0,0,0.000001,0.000001,0.000001,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0.000001,0.000001,0.000001,0
562971,Achromobacter xylosoxidans C54,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans C54,0.000006,0.000001,0.000003,0.000004,0.000001,0.000006,0.000002,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0.000001,0,0.000001,0.000001,0,0.000001,0,0,0,0.000001,0.000001,0,0,0,0,0,0.000001,0.000001,0
349163,Acidiphilium cryptum JF-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium cryptum,Acidiphilium cryptum JF-5,0.000044,0.000003,0.000007,0.000007,0.000004,0.000021,0.000007,0.000009,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0.000004,0.000001,0.000002,0.000004,0.000001,0.000002,0,0,0.000002,0.000001,0.000002,0,0.000002,0,0.000001,0.000006,0.000002,0.000002,0.000004,0.000003,0.000001,0,0.000003,0.000001,0.000025,0.000044,0,0.000001,0,0,0.000001,0.000003,0.000007,0
926570,Acidiphilium multivorum AIU301,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium multivorum,Acidiphilium multivorum AIU301,0.000033,0.000003,0.000007,0.000007,0.000003,0.000018,0.000006,0.00001,0,0.000001,0,0,0,0,0,0.000001,0,0.000001,0.000001,0,0,0,0,0,0.000001,0,0,0,0,0.000004,0.000001,0.000002,0.000002,0.000001,0.000001,0,0,0.000001,0.000001,0.000001,0,0.000002,0,0.000001,0.000002,0.000001,0.000001,0.000004,0.000003,0.000002,0,0.000001,0.000001,0.000021,0.000033,0,0.000001,0,0.000001,0.000001,0.000003,0.000008,0
1043206,Acidiphilium sp. PM,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,Acidiphilium sp. PM,Acidiphilium sp. PM,0.000039,0.000002,0.000005,0.000005,0.000002,0.000012,0.000005,0.000007,0.000001,0.000001,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000004,0.000001,0.000003,0.000001,0.000001,0.000001,0,0,0.000001,0.000001,0.000002,0,0.000002,0,0.000001,0.000003,0.000001,0.000001,0.000004,0.000003,0.000001,0,0.000001,0.000001,0.000021,0.000039,0,0.000001,0,0.000001,0.000001,0.000003,0.000007,0
637389,Acidithiobacillus caldus ATCC 51756,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus caldus,Acidithiobacillus caldus ATCC 51756,0.000019,0.000002,0.000003,0.000003,0.000003,0.000008,0.000004,0.000004,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000004,0.000001,0.000003,0.000001,0,0.000001,0,0,0,0.000002,0.000001,0,0.000001,0,0.000001,0.000002,0.000001,0.000002,0.000003,0,0,0,0.000002,0,0.000006,0.000019,0.000001,0,0,0,0.000005,0.000002,0.000003,0
990288,Acidithiobacillus caldus SM-1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus caldus,Acidithiobacillus caldus SM-1,0.000018,0.000002,0.000004,0.000004,0.000004,0.000018,0.000004,0.000006,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000002,0.000001,0.000002,0.000001,0,0.000006,0,0,0.000001,0.000002,0.000001,0.000001,0,0,0.000001,0.000002,0.000001,0.000005,0.000014,0.000001,0.000001,0,0.000001,0.000001,0.000004,0.000009,0.000001,0.000001,0,0.000001,0.000005,0.000001,0.000003,0.000001
743299,Acidithiobacillus ferrivorans SS3,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrivorans,Acidithiobacillus ferrivorans SS3,0.000077,0.000002,0.000006,0.000006,0.000005,0.000016,0.000006,0.000007,0.000001,0,0,0,0,0,0,0.000001,0,0,0,0,0.000003,0,0,0.000004,0,0,0,0,0.000001,0.000004,0.000002,0.000007,0.000004,0.000006,0.000003,0.000001,0.000001,0.000001,0.000004,0.000002,0,0.000003,0,0.000001,0.000004,0.000003,0.000008,0.000003,0.000003,0.000002,0,0.000004,0.000001,0.000035,0.000077,0.000002,0.000007,0,0.000002,0.000002,0.000006,0.000007,0.000005
243159,Acidithiobacillus ferrooxidans ATCC 23270,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,Acidithiobacillus ferrooxidans ATCC 23270,0.000018,0.000002,0.000009,0.000005,0.000004,0.000018,0.000004,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009,0.000003,0,0,0.000002,0.000003,0.000003,0.000002,0.000003,0.000001,0.000002,0.000001,0,0,0.000001,0.000002,0.000001,0.000001,0,0,0.000002,0.000003,0.000001,0.000002,0.000002,0.000001,0.000001,0,0.000001,0.000001,0.000007,0.000005,0.000001,0.000001,0,0.000003,0.000002,0.000002,0.000003,0
380394,Acidithiobacillus ferrooxidans ATCC 53993,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,Acidithiobacillus ferrooxidans ATCC 53993,0.000016,0.000001,0.000005,0.000004,0.000004,0.000016,0.000004,0.000004,0.000002,0.000001,0,0,0,0,0,0.000001,0,0.000002,0,0,0,0,0,0,0.000003,0,0,0.000002,0.000003,0.000002,0.000001,0.000005,0.000001,0.000003,0.000001,0,0,0.000001,0.000002,0.000001,0,0,0,0.000002,0.000002,0.000002,0.000003,0.000002,0.000002,0.000001,0.000001,0.000002,0.000001,0.000007,0.000005,0.000001,0.000001,0,0.000001,0.000002,0.000002,0.000004,0
872330,Acidithiobacillus sp. GGI-221,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus sp. GGI-221,Acidithiobacillus sp. GGI-221,0.000002,0,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637390,Acidithiobacillus thiooxidans ATCC 19377,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus thiooxidans,Acidithiobacillus thiooxidans ATCC 19377,0.000027,0.000003,0.000004,0.000007,0.000004,0.000005,0.000004,0.000006,0.000001,0.000001,0,0.000001,0.000001,0.000002,0,0.000001,0,0.000001,0,0,0,0,0,0,0.000001,0,0,0.000001,0,0.000003,0.000002,0.000005,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000003,0.000003,0.000001,0.000001,0,0.000006,0.000003,0.000003,0.000005,0.00001,0.000004,0.000006,0.000001,0.000006,0.000001,0.000014,0.000027,0.000002,0.000002,0.000001,0.000001,0.000003,0.000007,0.000006,0.000007
1214225,Acidocella sp. MX-AZ02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,Acidocella sp. MX-AZ02,Acidocella sp. MX-AZ02,0.000016,0.000001,0.000003,0.000005,0.000001,0.000005,0.000002,0.000003,0.000001,0,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0.000001,0,0,0.000001,0,0,0,0.000001,0.000001,0,0.000002,0,0.000001,0.000001,0.000001,0.000002,0.000002,0.000002,0.000001,0,0.000001,0,0.000006,0.000016,0.000001,0.000001,0,0,0,0.000003,0.000003,0
643561,Acidovorax avenae subsp. avenae ATCC 19860,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax avenae,Acidovorax avenae subsp. avenae ATCC 19860,0.000039,0.000009,0.000011,0.000009,0.000008,0.000039,0.000011,0.000015,0.000002,0.000001,0.000001,0,0,0,0,0.000002,0,0.000002,0,0.000001,0,0.000001,0,0.000021,0.000002,0.000001,0,0.000002,0.000002,0.000003,0.000002,0.000003,0.000002,0.000001,0.000002,0,0.000003,0.000001,0.000001,0.000002,0,0,0,0.000001,0.000003,0.000002,0.000005,0.00001,0.000001,0.000002,0,0.000003,0.000002,0.000004,0.000007,0.000001,0.000002,0.000001,0.000002,0.000003,0.000004,0.000004,0.000001
397945,Acidovorax citrulli AAC00-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax citrulli,Acidovorax citrulli AAC00-1,0.000028,0.00001,0.000011,0.000008,0.000006,0.000028,0.000011,0.000014,0.000001,0.000001,0,0,0.000001,0.000001,0,0.000002,0,0.000001,0,0,0,0,0,0.000013,0.000001,0.000004,0,0,0.000002,0.000004,0.000003,0.000005,0.000004,0.000002,0.000004,0.000001,0.000003,0.000006,0.000003,0.000003,0,0.000001,0.000002,0.000002,0.000004,0.000003,0.000005,0.000007,0.000001,0.000002,0.000002,0.000003,0.000002,0.000002,0.000009,0.000001,0.000003,0.000002,0.000002,0.000005,0.000004,0.000006,0
573060,Acidovorax delafieldii 2AN,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax delafieldii,Acidovorax delafieldii 2AN,0.000179,0.000015,0.000009,0.000006,0.000006,0.00002,0.000009,0.000021,0.000001,0.000001,0,0.000001,0.000001,0.000001,0,0.000001,0,0,0,0,0,0,0,0.000179,0.000008,0.000015,0.000001,0.000003,0.000007,0.000003,0.000002,0.000002,0.000005,0.000001,0.000002,0,0.000001,0.000002,0.000001,0.000001,0,0.000001,0,0.000002,0.000003,0.000002,0.000007,0.000004,0.000001,0.000003,0,0.000002,0.000001,0.000005,0.000009,0.000001,0.000001,0.000001,0.000001,0.000004,0.000002,0.000007,0.000001
535289,Acidovorax ebreus TPSY,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax ebreus,Acidovorax ebreus TPSY,0.000087,0.000017,0.000012,0.000009,0.000008,0.000022,0.000014,0.000016,0.000001,0.000001,0,0,0.000001,0,0,0.000001,0,0.000001,0,0,0,0,0,0.000087,0.000007,0.000014,0.000001,0,0.000004,0.000006,0.000003,0.000004,0.000002,0.000001,0.000002,0.000006,0.000002,0.000004,0.000002,0.000003,0,0,0,0.000003,0.000002,0.000002,0.000003,0.000005,0.000001,0.000007,0.000001,0.000003,0.000002,0.000003,0.000003,0,0.000002,0.000001,0.000001,0.000005,0.000003,0.000005,0
999386,Acidovorax radicis N35,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax radicis,Acidovorax radicis N35,0.000029,0.000013,0.000006,0.000006,0.000006,0.000029,0.000008,0.000012,0,0,0.000001,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0.000012,0.000005,0.000008,0.000002,0.000002,0.000003,0.000004,0.000001,0.000003,0.000002,0.000001,0.000002,0.000001,0.000003,0.000002,0.000001,0.000002,0,0,0,0.000002,0.000002,0.000003,0.000003,0.000003,0.000002,0.000003,0.000001,0.000002,0.000001,0.000004,0.000008,0,0.000001,0.000001,0.000001,0.000003,0.000003,0.000004,0
1144317,Acidovorax sp. CF316,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. CF316,Acidovorax sp. CF316,0.00001,0.000001,0.000002,0.000003,0.000001,0.000003,0.000001,0.000002,0,0.000007,0,0.000002,0,0,0,0.00001,0,0.000006,0,0,0,0,0,0.000004,0,0,0,0,0,0.000001,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0.000001,0.000001,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0
232721,Acidovorax sp. JS42,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42,Acidovorax sp. JS42,0.000179,0.000019,0.00001,0.000009,0.000009,0.000023,0.000014,0.000015,0.000003,0.000002,0,0,0,0.000001,0,0.000003,0,0.000003,0,0.000001,0,0.000002,0.000001,0.000179,0.000004,0.000003,0,0.000002,0.000003,0.000006,0.000003,0.000005,0.000004,0.000002,0.000003,0.000001,0.000003,0.000002,0.000001,0.000003,0,0,0,0.000003,0.000003,0.000002,0.000006,0.000005,0.000002,0.000007,0.000001,0.000002,0.000002,0.000006,0.000003,0,0.000002,0.000001,0.000002,0.000004,0.000004,0.000008,0.000001
358220,Acidovorax sp. KKS102,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. KKS102,Acidovorax sp. KKS102,0.000004,0.000002,0.000003,0.000003,0.000001,0.000004,0.000002,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0.000001,0.000002,0.000001,0,0.000001,0.000001,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0,0.000001,0.000002,0.000001,0.000001,0,0,0,0.000001,0.000002,0,0,0,0,0,0.000001,0,0
